Date,Open,High,Low,Close,Adj Close,Volume
1997-06-10,13.72,13.72,13.72,13.72,2.49,0
1997-06-11,13.76,13.76,13.76,13.76,2.50,0
1997-06-12,13.84,13.84,13.84,13.84,2.51,0
1997-06-13,13.91,13.91,13.91,13.91,2.52,0
1997-06-16,13.89,13.89,13.89,13.89,2.52,0
1997-06-17,13.93,13.93,13.93,13.93,2.53,0
1997-06-18,13.94,13.94,13.94,13.94,2.53,0
1997-06-19,14.05,14.05,14.05,14.05,2.55,0
1997-06-20,13.97,13.97,13.97,13.97,2.53,0
1997-06-23,13.88,13.88,13.88,13.88,2.52,0
1997-06-24,14.02,14.02,14.02,14.02,2.54,0
1997-06-25,13.98,13.98,13.98,13.98,2.54,0
1997-06-26,13.97,13.97,13.97,13.97,2.53,0
1997-06-27,14.05,14.05,14.05,14.05,2.55,0
1997-06-30,14.20,14.20,14.20,14.20,2.58,0
1997-07-01,14.23,14.23,14.23,14.23,2.58,0
1997-07-02,14.28,14.28,14.28,14.28,2.59,0
1997-07-03,14.34,14.34,14.34,14.34,2.60,0
1997-07-07,14.34,14.34,14.34,14.34,2.60,0
1997-07-08,14.39,14.39,14.39,14.39,2.61,0
1997-07-09,14.36,14.36,14.36,14.36,2.61,0
1997-07-10,14.43,14.43,14.43,14.43,2.62,0
1997-07-11,14.52,14.52,14.52,14.52,2.63,0
1997-07-14,14.57,14.57,14.57,14.57,2.64,0
1997-07-15,14.63,14.63,14.63,14.63,2.65,0
1997-07-16,14.75,14.75,14.75,14.75,2.68,0
1997-07-17,14.75,14.75,14.75,14.75,2.68,0
1997-07-18,14.69,14.69,14.69,14.69,2.67,0
1997-07-21,14.61,14.61,14.61,14.61,2.65,0
1997-07-22,14.67,14.67,14.67,14.67,2.66,0
1997-07-23,14.75,14.75,14.75,14.75,2.68,0
1997-07-24,14.77,14.77,14.77,14.77,2.68,0
1997-07-25,14.77,14.77,14.77,14.77,2.68,0
1997-07-28,14.78,14.78,14.78,14.78,2.68,0
1997-07-29,14.85,14.85,14.85,14.85,2.69,0
1997-07-30,15.00,15.00,15.00,15.00,2.72,0
1997-07-31,15.06,15.06,15.06,15.06,2.73,0
1997-08-01,15.06,15.06,15.06,15.06,2.73,0
1997-08-04,15.12,15.12,15.12,15.12,2.74,0
1997-08-05,15.21,15.21,15.21,15.21,2.76,0
1997-08-06,15.30,15.30,15.30,15.30,2.78,0
1997-08-07,15.30,15.30,15.30,15.30,2.78,0
1997-08-08,15.10,15.10,15.10,15.10,2.74,0
1997-08-11,15.08,15.08,15.08,15.08,2.74,0
1997-08-12,15.08,15.08,15.08,15.08,2.74,0
1997-08-13,15.07,15.07,15.07,15.07,2.73,0
1997-08-14,15.08,15.08,15.08,15.08,2.74,0
1997-08-15,14.95,14.95,14.95,14.95,2.71,0
1997-08-18,14.93,14.93,14.93,14.93,2.71,0
1997-08-19,15.09,15.09,15.09,15.09,2.74,0
1997-08-20,15.25,15.25,15.25,15.25,2.77,0
1997-08-21,15.20,15.20,15.20,15.20,2.76,0
1997-08-22,15.13,15.13,15.13,15.13,2.75,0
1997-08-25,15.21,15.21,15.21,15.21,2.76,0
1997-08-26,15.22,15.22,15.22,15.22,2.76,0
1997-08-27,15.33,15.33,15.33,15.33,2.78,0
1997-08-28,15.36,15.36,15.36,15.36,2.79,0
1997-08-29,15.40,15.40,15.40,15.40,2.79,0
1997-09-02,15.57,15.57,15.57,15.57,2.83,0
1997-09-03,15.61,15.61,15.61,15.61,2.83,0
1997-09-04,15.67,15.67,15.67,15.67,2.84,0
1997-09-05,15.75,15.75,15.75,15.75,2.86,0
1997-09-08,15.83,15.83,15.83,15.83,2.87,0
1997-09-09,15.93,15.93,15.93,15.93,2.89,0
1997-09-10,15.90,15.90,15.90,15.90,2.89,0
1997-09-11,15.89,15.89,15.89,15.89,2.88,0
1997-09-12,16.01,16.01,16.01,16.01,2.91,0
1997-09-15,16.04,16.04,16.04,16.04,2.91,0
1997-09-16,16.18,16.18,16.18,16.18,2.94,0
1997-09-17,16.23,16.23,16.23,16.23,2.95,0
1997-09-18,16.26,16.26,16.26,16.26,2.95,0
1997-09-19,16.26,16.26,16.26,16.26,2.95,0
1997-09-22,16.34,16.34,16.34,16.34,2.96,0
1997-09-23,16.37,16.37,16.37,16.37,2.97,0
1997-09-24,16.36,16.36,16.36,16.36,2.97,0
1997-09-25,16.36,16.36,16.36,16.36,2.97,0
1997-09-26,16.44,16.44,16.44,16.44,2.98,0
1997-09-29,16.52,16.52,16.52,16.52,3.00,0
1997-09-30,16.59,16.59,16.59,16.59,3.01,0
1997-10-01,16.67,16.67,16.67,16.67,3.02,0
1997-10-02,16.77,16.77,16.77,16.77,3.04,0
1997-10-03,16.83,16.83,16.83,16.83,3.05,0
1997-10-06,16.88,16.88,16.88,16.88,3.06,0
1997-10-07,16.92,16.92,16.92,16.92,3.07,0
1997-10-08,16.94,16.94,16.94,16.94,3.07,0
1997-10-09,16.97,16.97,16.97,16.97,3.08,0
1997-10-10,17.01,17.01,17.01,17.01,3.09,0
1997-10-13,17.01,17.01,17.01,17.01,3.09,0
1997-10-14,17.01,17.01,17.01,17.01,3.09,0
1997-10-15,16.96,16.96,16.96,16.96,3.08,0
1997-10-16,16.80,16.80,16.80,16.80,3.05,0
1997-10-17,16.53,16.53,16.53,16.53,3.00,0
1997-10-20,16.65,16.65,16.65,16.65,3.02,0
1997-10-21,16.81,16.81,16.81,16.81,3.05,0
1997-10-22,16.80,16.80,16.80,16.80,3.05,0
1997-10-23,16.51,16.51,16.51,16.51,3.00,0
1997-10-24,16.47,16.47,16.47,16.47,2.99,0
1997-10-27,15.55,15.55,15.55,15.55,2.82,0
1997-10-28,15.84,15.84,15.84,15.84,2.87,0
1997-10-29,16.00,16.00,16.00,16.00,2.90,0
1997-10-30,15.80,15.80,15.80,15.80,2.87,0
1997-10-31,15.97,15.97,15.97,15.97,2.90,0
1997-11-03,16.21,16.21,16.21,16.21,2.94,0
1997-11-04,16.25,16.25,16.25,16.25,2.95,0
1997-11-05,16.30,16.30,16.30,16.30,2.96,0
1997-11-06,16.27,16.27,16.27,16.27,2.95,0
1997-11-07,15.99,15.99,15.99,15.99,2.90,0
1997-11-10,16.03,16.03,16.03,16.03,2.91,0
1997-11-11,16.03,16.03,16.03,16.03,2.91,0
1997-11-12,15.71,15.71,15.71,15.71,2.85,0
1997-11-13,15.70,15.70,15.70,15.70,2.85,0
1997-11-14,15.79,15.79,15.79,15.79,2.87,0
1997-11-17,16.00,16.00,16.00,16.00,2.90,0
1997-11-18,15.92,15.92,15.92,15.92,2.89,0
1997-11-19,15.87,15.87,15.87,15.87,2.88,0
1997-11-20,15.99,15.99,15.99,15.99,2.90,0
1997-11-21,15.98,15.98,15.98,15.98,2.90,0
1997-11-24,15.74,15.74,15.74,15.74,2.86,0
1997-11-25,15.70,15.70,15.70,15.70,2.85,0
1997-11-26,15.73,15.73,15.73,15.73,2.85,0
1997-11-28,15.74,15.74,15.74,15.74,2.86,0
1997-12-01,15.90,15.90,15.90,15.90,2.89,0
1997-12-02,15.88,15.88,15.88,15.88,2.88,0
1997-12-03,15.90,15.90,15.90,15.90,2.89,0
1997-12-04,15.89,15.89,15.89,15.89,2.88,0
1997-12-05,15.99,15.99,15.99,15.99,2.90,0
1997-12-08,16.07,16.07,16.07,16.07,2.92,0
1997-12-09,15.97,15.97,15.97,15.97,2.90,0
1997-12-10,15.85,15.85,15.85,15.85,2.88,0
1997-12-11,15.60,15.60,15.60,15.60,2.83,0
1997-12-12,15.56,15.56,15.56,15.56,2.82,0
1997-12-15,15.57,15.57,15.57,15.57,2.83,0
1997-12-16,15.67,15.67,15.67,15.67,2.84,0
1997-12-17,15.69,15.69,15.69,15.69,2.85,0
1997-12-18,15.52,15.52,15.52,15.52,2.82,0
1997-12-19,15.47,15.47,15.47,15.47,2.81,0
1997-12-22,15.56,15.56,15.56,15.56,2.82,0
1997-12-23,15.57,15.57,15.57,15.57,2.83,0
1997-12-24,14.81,14.81,14.81,14.81,2.69,0
1997-12-26,14.84,14.84,14.84,14.84,2.83,0
1997-12-29,14.96,14.96,14.96,14.96,2.85,0
1997-12-30,15.18,15.18,15.18,15.18,2.90,0
1997-12-31,15.26,15.26,15.26,15.26,2.91,0
1998-01-02,15.30,15.30,15.30,15.30,2.92,0
1998-01-05,15.30,15.30,15.30,15.30,2.92,0
1998-01-06,15.16,15.16,15.16,15.16,2.89,0
1998-01-07,15.04,15.04,15.04,15.04,2.87,0
1998-01-08,14.91,14.91,14.91,14.91,2.84,0
1998-01-09,14.51,14.51,14.51,14.51,2.77,0
1998-01-12,14.43,14.43,14.43,14.43,2.75,0
1998-01-13,14.63,14.63,14.63,14.63,2.79,0
1998-01-14,14.75,14.75,14.75,14.75,2.81,0
1998-01-15,14.73,14.73,14.73,14.73,2.81,0
1998-01-16,14.89,14.89,14.89,14.89,2.84,0
1998-01-20,15.05,15.05,15.05,15.05,2.87,0
1998-01-21,14.98,14.98,14.98,14.98,2.86,0
1998-01-22,14.89,14.89,14.89,14.89,2.84,0
1998-01-23,14.85,14.85,14.85,14.85,2.83,0
1998-01-26,14.85,14.85,14.85,14.85,2.83,0
1998-01-27,14.85,14.85,14.85,14.85,2.83,0
1998-01-28,15.02,15.02,15.02,15.02,2.87,0
1998-01-29,15.05,15.05,15.05,15.05,2.87,0
1998-01-30,15.03,15.03,15.03,15.03,2.87,0
